,Asia,Europe,Africa,Oceania,Americas,World
ABW,False,False,False,False,True,True
AFG,True,False,False,False,False,True
AGO,False,False,True,False,False,True
AIA,False,False,False,False,True,True
ALA,False,True,False,False,False,True
ALB,False,True,False,False,False,True
AND,False,True,False,False,False,True
ARE,True,False,False,False,False,True
ARG,False,False,False,False,True,True
ARM,True,False,False,False,False,True
ASM,False,False,False,True,False,True
ATA,False,False,False,False,False,False
ATF,False,False,True,False,False,True
ATG,False,False,False,False,True,True
AUS,False,False,False,True,False,True
AUT,False,True,False,False,False,True
AZE,True,False,False,False,False,True
BDI,False,False,True,False,False,True
BEL,False,True,False,False,False,True
BEN,False,False,True,False,False,True
BES,False,False,False,False,True,True
BFA,False,False,True,False,False,True
BGD,True,False,False,False,False,True
BGR,False,True,False,False,False,True
BHR,True,False,False,False,False,True
BHS,False,False,False,False,True,True
BIH,False,True,False,False,False,True
BLM,False,False,False,False,True,True
BLR,False,True,False,False,False,True
BLZ,False,False,False,False,True,True
BMU,False,False,False,False,True,True
BOL,False,False,False,False,True,True
BRA,False,False,False,False,True,True
BRB,False,False,False,False,True,True
BRN,True,False,False,False,False,True
BTN,True,False,False,False,False,True
BVT,False,False,False,False,True,True
BWA,False,False,True,False,False,True
CAF,False,False,True,False,False,True
CAN,False,False,False,False,True,True
CCK,False,False,False,True,False,True
CHE,False,True,False,False,False,True
CHL,False,False,False,False,True,True
CHN,True,False,False,False,False,True
CIV,False,False,True,False,False,True
CMR,False,False,True,False,False,True
COD,False,False,True,False,False,True
COG,False,False,True,False,False,True
COK,False,False,False,True,False,True
COL,False,False,False,False,True,True
COM,False,False,True,False,False,True
CPV,False,False,True,False,False,True
CRI,False,False,False,False,True,True
CUB,False,False,False,False,True,True
CUW,False,False,False,False,True,True
CXR,False,False,False,True,False,True
CYM,False,False,False,False,True,True
CYP,True,False,False,False,False,True
CZE,False,True,False,False,False,True
DEU,False,True,False,False,False,True
DJI,False,False,True,False,False,True
DMA,False,False,False,False,True,True
DNK,False,True,False,False,False,True
DOM,False,False,False,False,True,True
DZA,False,False,True,False,False,True
ECU,False,False,False,False,True,True
EGY,False,False,True,False,False,True
ERI,False,False,True,False,False,True
ESH,False,False,True,False,False,True
ESP,False,True,False,False,False,True
EST,False,True,False,False,False,True
ETH,False,False,True,False,False,True
FIN,False,True,False,False,False,True
FJI,False,False,False,True,False,True
FLK,False,False,False,False,True,True
FRA,False,True,False,False,False,True
FRO,False,True,False,False,False,True
FSM,False,False,False,True,False,True
GAB,False,False,True,False,False,True
GBR,False,True,False,False,False,True
GEO,True,False,False,False,False,True
GGY,False,True,False,False,False,True
GHA,False,False,True,False,False,True
GIB,False,True,False,False,False,True
GIN,False,False,True,False,False,True
GLP,False,False,False,False,True,True
GMB,False,False,True,False,False,True
GNB,False,False,True,False,False,True
GNQ,False,False,True,False,False,True
GRC,False,True,False,False,False,True
GRD,False,False,False,False,True,True
GRL,False,False,False,False,True,True
GTM,False,False,False,False,True,True
GUF,False,False,False,False,True,True
GUM,False,False,False,True,False,True
GUY,False,False,False,False,True,True
HKG,True,False,False,False,False,True
HMD,False,False,False,True,False,True
HND,False,False,False,False,True,True
HRV,False,True,False,False,False,True
HTI,False,False,False,False,True,True
HUN,False,True,False,False,False,True
IDN,True,False,False,False,False,True
