table,last_update,description,fetched
IEA_GHG_FUEL_DETAILED_2021,2022-02-13 00:00:00+00:00,,2022-03-23
TEST_2022,2022-02-03 00:00:00+00:00,,2022-03-23
CD_LINKS,2022-02-02 00:00:00+00:00,,2022-03-23
IPCC_SR15,2022-02-02 00:00:00+00:00,,2022-03-23
ENGAGE_2021,2022-02-03 00:00:00+00:00,,2022-03-23
IEA_WEB_DETAILED_2021,2022-02-13 00:00:00+00:00,,2022-03-23
PIK_NDC_2021,2021-10-14 00:00:00+00:00,,2022-03-23
PRIMAP_2021,2021-10-13 00:00:00+00:00,,2022-03-23
EWGLUT_2019,2022-02-03 00:00:00+00:00,,2022-03-23
EEA_2021,2021-08-17 00:00:00+00:00,,2022-03-23
UN_WUP_2018,2021-07-16 00:00:00+00:00,,2022-03-23
CA_1P5_PATHWAYS_2021,2021-07-16 00:00:00+00:00,,2022-03-23
CAT_2021_04,2021-07-16 00:00:00+00:00,,2022-03-23
CAT_PSR_2019,2021-07-16 00:00:00+00:00,,2022-03-23
FAO_2021,2021-07-16 00:00:00+00:00,,2022-03-23
WDI_2021,2021-07-16 00:00:00+00:00,,2022-03-23
ENERDATA_2021,2021-07-16 00:00:00+00:00,,2022-03-23
B2G_2021,2021-07-16 00:00:00+00:00,,2022-03-23
IEA_WEB_DETAILED_2020,2021-06-01 00:00:00+00:00,,2022-03-23
IEA_CO2_FUEL_DETAILED_2019,2021-05-30 00:00:00+00:00,,2022-03-23
CAT_EQUITY_2021,2021-07-16 00:00:00+00:00,,2022-03-23
UNFCCC_CRF_2021,2022-03-01 00:00:00+00:00,,2022-03-23
AIRCLIMMODELS_2021,2021-08-03 00:00:00+00:00,,2022-03-23
PAC_2019,2021-02-02 00:00:00+00:00,,2022-03-23
IMAGE15_2021,2021-06-22 00:00:00+00:00,,2022-03-23
SSP_DB_2013,2020-11-16 00:00:00+00:00,,2022-03-23
AIM15_2020,2020-10-29 00:00:00+00:00,,2022-03-23
CAT_2020_09,2020-10-16 00:00:00+00:00,,2022-03-23
IEA_CO2_FUEL_2020,2020-10-15 00:00:00+00:00,,2022-03-23
IEA_WEB_2020,2020-10-15 00:00:00+00:00,,2022-03-23
WDI_2020b,2021-03-17 00:00:00+00:00,,2022-03-23
IMAGE15_2020,2020-10-29 00:00:00+00:00,1.5deg scenarios from IMAGE by PBL,2022-03-23
LED_2019,2020-09-15 00:00:00+00:00,Low Energy Demand scenario,2022-03-23
IAMC_CMIP6_2020,2020-08-20 00:00:00+00:00,,2022-03-23
UNFCCC_CRF_2020,2020-08-27 00:00:00+00:00,,2022-03-23
PRIMAP_DOWN_2020,2020-07-28 00:00:00+00:00,,2022-03-23
HDI_2020,2020-07-22 00:00:00+00:00,,2022-03-23
ENERDATA_2020,2020-08-27 00:00:00+00:00,,2022-03-23
PRIMAP_2019,2020-11-18 00:00:00+00:00,,2022-03-23
PRIMAP_2018,2020-06-22 00:00:00+00:00,,2022-03-23
IEA_CO2_FUEL_2019,2021-03-30 00:00:00+00:00,,2022-03-23
WDI_2020,2020-06-22 00:00:00+00:00,,2022-03-23
IEA_WEB_2019,2020-06-17 00:00:00+00:00,,2022-03-23
CAT_2019_11,2020-11-06 00:00:00+00:00,,2022-03-23
WDI_2019,2020-06-16 00:00:00+00:00,,2022-03-23
IAMC15_2019_R2,2021-02-18 00:00:00+00:00,,2022-03-23
FAO_2020,2021-05-06 00:00:00+00:00,,2022-03-23
ENERDATA_2019,2020-08-27 00:00:00+00:00,,2022-03-23
CAT_2016_12,2020-06-14 00:00:00+00:00,,2022-03-23
SIAMESE_2019,2020-06-14 00:00:00+00:00,,2022-03-23
AR5_DB,2020-06-14 00:00:00+00:00,,2022-03-23
CAT_2018_12,2020-06-14 00:00:00+00:00,,2022-03-23
CA_PR_2019,2020-06-14 00:00:00+00:00,,2022-03-23
CAT_2019_09,2020-06-14 00:00:00+00:00,,2022-03-23
CAT_2015,2020-06-14 00:00:00+00:00,,2022-03-23
CAT_2014,2020-06-14 00:00:00+00:00,,2022-03-23
CDLINKS_2018,2020-06-14 00:00:00+00:00,,2022-03-23
IEA_WEB_2018,2020-06-14 00:00:00+00:00,,2022-03-23
UN_WPP2019,2020-06-14 00:00:00+00:00,,2022-03-23
SIAMESE_2020,2020-06-14 00:00:00+00:00,,2022-03-23
CA_NDCA_2019,2021-05-17 00:00:00+00:00,,2022-03-23
APAC_2019,2020-06-14 00:00:00+00:00,,2022-03-23
SDG_DB_2019,2020-06-14 00:00:00+00:00,,2022-03-23
CAT_2017_11,2020-06-14 00:00:00+00:00,,2022-03-23
WEO_2019,2020-06-14 00:00:00+00:00,,2022-03-23
IEA_GHG_FUEL_DETAILED_2021,2022-02-13 00:00:00+00:00,,2022-03-23
TEST_2022,2022-02-03 00:00:00+00:00,,2022-03-23
CD_LINKS,2022-02-02 00:00:00+00:00,,2022-03-23
IPCC_SR15,2022-02-02 00:00:00+00:00,,2022-03-23
ENGAGE_2021,2022-02-03 00:00:00+00:00,,2022-03-23
IEA_WEB_DETAILED_2021,2022-02-13 00:00:00+00:00,,2022-03-23
PIK_NDC_2021,2021-10-14 00:00:00+00:00,,2022-03-23
PRIMAP_2021,2021-10-13 00:00:00+00:00,,2022-03-23
EWGLUT_2019,2022-02-03 00:00:00+00:00,,2022-03-23
EEA_2021,2021-08-17 00:00:00+00:00,,2022-03-23
UN_WUP_2018,2021-07-16 00:00:00+00:00,,2022-03-23
CA_1P5_PATHWAYS_2021,2021-07-16 00:00:00+00:00,,2022-03-23
CAT_2021_04,2021-07-16 00:00:00+00:00,,2022-03-23
CAT_PSR_2019,2021-07-16 00:00:00+00:00,,2022-03-23
FAO_2021,2021-07-16 00:00:00+00:00,,2022-03-23
WDI_2021,2021-07-16 00:00:00+00:00,,2022-03-23
ENERDATA_2021,2021-07-16 00:00:00+00:00,,2022-03-23
B2G_2021,2021-07-16 00:00:00+00:00,,2022-03-23
IEA_WEB_DETAILED_2020,2021-06-01 00:00:00+00:00,,2022-03-23
IEA_CO2_FUEL_DETAILED_2019,2021-05-30 00:00:00+00:00,,2022-03-23
CAT_EQUITY_2021,2021-07-16 00:00:00+00:00,,2022-03-23
UNFCCC_CRF_2021,2022-03-01 00:00:00+00:00,,2022-03-23
AIRCLIMMODELS_2021,2021-08-03 00:00:00+00:00,,2022-03-23
PAC_2019,2021-02-02 00:00:00+00:00,,2022-03-23
IMAGE15_2021,2021-06-22 00:00:00+00:00,,2022-03-23
SSP_DB_2013,2020-11-16 00:00:00+00:00,,2022-03-23
AIM15_2020,2020-10-29 00:00:00+00:00,,2022-03-23
CAT_2020_09,2020-10-16 00:00:00+00:00,,2022-03-23
IEA_CO2_FUEL_2020,2020-10-15 00:00:00+00:00,,2022-03-23
IEA_WEB_2020,2020-10-15 00:00:00+00:00,,2022-03-23
WDI_2020b,2021-03-17 00:00:00+00:00,,2022-03-23
IMAGE15_2020,2020-10-29 00:00:00+00:00,1.5deg scenarios from IMAGE by PBL,2022-03-23
