ISO,R5,AIM,GCAM4,IMAGE,MESSAGE,REMIND,WITCH,WITCH_MADEUP,EU27,EU28,World,EARTH
ATG,R5LAM,XLM,Central America and Caribbean,RCAM,LAM,LAM,WITCH_LACA,LACA,,,World,EARTH
DZA,R5MAF,XNF,Africa_Northern,NAF,MEA,MEA,WITCH_MENA,MENA,,,World,EARTH
AZE,R5REF,CIS,Central Asia,RUS,FSU,MEA,WITCH_TE,TE,,,World,EARTH
ALB,R5OECD,XER,Europe_Non_EU,CEU,EEU,ROW,WITCH_TE,TE,,,World,EARTH
ARM,R5REF,CIS,Central Asia,RUS,FSU,MEA,WITCH_TE,TE,,,World,EARTH
AGO,R5MAF,XAF,Africa_Southern,RSAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
ASM,R5ASIA,XSA,Southeast Asia,OCE,PAS,OAS,WITCH_EASIA,EASIA,,,World,EARTH
ARG,R5LAM,XLM,Argentina,RSAM,LAM,LAM,WITCH_LACA,LACA,,,World,EARTH
AUS,R5OECD,XOC,Australia_NZ,OCE,PAO,ROW,WITCH_KOSAU,KOSAU,,,World,EARTH
BHR,R5MAF,XME,Middle East,ME,MEA,MEA,WITCH_MENA,MENA,,,World,EARTH
BRB,R5LAM,XLM,Central America and Caribbean,RCAM,LAM,LAM,WITCH_LACA,LACA,,,World,EARTH
BMU,R5LAM,XLM,Central America and Caribbean,RCAM,LAM,LAM,WITCH_USA,USA,,,World,EARTH
BHS,R5LAM,XLM,Central America and Caribbean,RCAM,LAM,LAM,WITCH_LACA,LACA,,,World,EARTH
BGD,R5ASIA,XSA,South Asia,RSAS,SAS,OAS,WITCH_SASIA,SASIA,,,World,EARTH
BLZ,R5LAM,XLM,Central America and Caribbean,RCAM,LAM,LAM,WITCH_LACA,LACA,,,World,EARTH
BIH,R5OECD,XER,Europe_Non_EU,CEU,EEU,ROW,WITCH_TE,TE,,,World,EARTH
BOL,R5LAM,XLM,South America_Southern,RSAM,LAM,LAM,WITCH_LACA,LACA,,,World,EARTH
MMR,R5ASIA,XSE,Southeast Asia,SEAS,PAS,OAS,WITCH_EASIA,EASIA,,,World,EARTH
BEN,R5MAF,XAF,Africa_Western,WAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
SLB,R5ASIA,XSA,Southeast Asia,OCE,PAS,OAS,WITCH_EASIA,EASIA,,,World,EARTH
BRA,R5LAM,BRA,Brazil,BRA,LAM,LAM,WITCH_LACA,LACA,,,World,EARTH
BGR,R5OECD,XER,EU-12,CEU,EEU,EUR,WITCH_TE,TE,EU27,EU28,World,EARTH
BRN,R5ASIA,XSA,Southeast Asia,SEAS,PAS,OAS,WITCH_EASIA,EASIA,,,World,EARTH
CAN,R5OECD,CAN,Canada,CAN,NAM,ROW,WITCH_CAJANZ,CAJAZ,,,World,EARTH
KHM,R5ASIA,XSE,Southeast Asia,SEAS,CPA,OAS,WITCH_EASIA,EASIA,,,World,EARTH
LKA,R5ASIA,XSA,South Asia,RSAS,SAS,OAS,WITCH_SASIA,SASIA,,,World,EARTH
COG,R5MAF,XAF,Africa_Western,WAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
COD,R5MAF,XAF,Africa_Western,WAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
BDI,R5MAF,XAF,Africa_Eastern,EAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
CHN,R5ASIA,CHN,China,CHN,CPA,CHN,WITCH_CHINA,CHINA,,,World,EARTH
AFG,R5ASIA,XSA,South Asia,RSAS,SAS,OAS,WITCH_SASIA,SASIA,,,World,EARTH
BTN,R5ASIA,XSA,South Asia,RSAS,SAS,OAS,WITCH_SASIA,SASIA,,,World,EARTH
CHL,R5LAM,XLM,South America_Southern,RSAM,LAM,LAM,WITCH_LACA,LACA,,,World,EARTH
CYM,R5LAM,XLM,Central America and Caribbean,RCAM,LAM,LAM,WITCH_LACA,LACA,,,World,EARTH
CMR,R5MAF,XAF,Africa_Western,WAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
TCD,R5MAF,XAF,Africa_Western,WAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
COM,R5MAF,XAF,Africa_Eastern,EAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
COL,R5LAM,XLM,Colombia,RSAM,LAM,LAM,WITCH_LACA,LACA,,,World,EARTH
CRI,R5LAM,XLM,Central America and Caribbean,RCAM,LAM,LAM,WITCH_LACA,LACA,,,World,EARTH
CAF,R5MAF,XAF,Africa_Western,WAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
CUB,R5LAM,XLM,Central America and Caribbean,RCAM,LAM,LAM,WITCH_LACA,LACA,,,World,EARTH
CPV,R5MAF,XAF,Africa_Western,WAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
COK,R5ASIA,XSA,Southeast Asia,OCE,PAS,OAS,,,,,World,EARTH
CYP,R5OECD,XE25,EU-12,CEU,WEU,EUR,WITCH_NEWEU,EUROPE,EU27,EU28,World,EARTH
DNK,R5OECD,XE25,EU-15,WEU,WEU,EUR,WITCH_OLDEURO,EUROPE,EU27,EU28,World,EARTH
DJI,R5MAF,XAF,Africa_Eastern,EAF,AFR,AFR,WITCH_MENA,MENA,,,World,EARTH
DMA,R5LAM,XLM,Central America and Caribbean,RCAM,LAM,LAM,WITCH_LACA,LACA,,,World,EARTH
DOM,R5LAM,XLM,Central America and Caribbean,RCAM,LAM,LAM,WITCH_LACA,LACA,,,World,EARTH
ECU,R5LAM,XLM,South America_Southern,RSAM,LAM,LAM,WITCH_LACA,LACA,,,World,EARTH
EGY,R5MAF,XNF,Africa_Northern,NAF,MEA,MEA,WITCH_MENA,MENA,,,World,EARTH
IRL,R5OECD,XE25,EU-15,WEU,WEU,EUR,WITCH_OLDEURO,EUROPE,EU27,EU28,World,EARTH
GNQ,R5MAF,XAF,Africa_Western,WAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
EST,R5OECD,XE25,EU-12,CEU,EEU,EUR,WITCH_NEWEU,EUROPE,EU27,EU28,World,EARTH
ERI,R5MAF,XAF,Africa_Eastern,EAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
SLV,R5LAM,XLM,Central America and Caribbean,RCAM,LAM,LAM,WITCH_LACA,LACA,,,World,EARTH
ETH,R5MAF,XAF,Africa_Eastern,EAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
AUT,R5OECD,XE25,EU-15,WEU,WEU,EUR,WITCH_OLDEURO,EUROPE,EU27,EU28,World,EARTH
CZE,R5OECD,XE25,EU-12,CEU,EEU,EUR,WITCH_NEWEU,EUROPE,EU27,EU28,World,EARTH
GUF,R5LAM,XLM,South America_Northern,RSAM,LAM,LAM,,,,,World,EARTH
FIN,R5OECD,XE25,EU-15,WEU,WEU,EUR,WITCH_OLDEURO,EUROPE,EU27,EU28,World,EARTH
FJI,R5ASIA,XSA,Southeast Asia,OCE,PAS,OAS,WITCH_EASIA,EASIA,,,World,EARTH
FLK,R5LAM,XLM,EU-15,RSAM,LAM,LAM,,,,,World,EARTH
FSM,R5ASIA,XSA,Southeast Asia,OCE,PAS,OAS,WITCH_EASIA,EASIA,,,World,EARTH
PYF,R5ASIA,XSA,Southeast Asia,OCE,PAS,OAS,WITCH_EASIA,EASIA,,,World,EARTH
FRA,R5OECD,XE25,EU-15,WEU,WEU,EUR,WITCH_OLDEURO,EUROPE,EU27,EU28,World,EARTH
GMB,R5MAF,XAF,Africa_Western,WAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
GAB,R5MAF,XAF,Africa_Western,WAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
GEO,R5REF,CIS,Central Asia,RUS,FSU,MEA,WITCH_TE,TE,,,World,EARTH
GHA,R5MAF,XAF,Africa_Western,WAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
GRD,R5LAM,XLM,Central America and Caribbean,RCAM,LAM,LAM,WITCH_LACA,LACA,,,World,EARTH
GRL,R5OECD,XLM,EU-15,RSAF,WEU,EUR,WITCH_OLDEURO,EUROPE,,,World,EARTH
DEU,R5OECD,XE25,EU-15,WEU,WEU,EUR,WITCH_OLDEURO,EUROPE,EU27,EU28,World,EARTH
GUM,R5OECD,XSA,Southeast Asia,USA,NAM,OAS,WITCH_EASIA,EASIA,,,World,EARTH
GRC,R5OECD,XE25,EU-15,WEU,WEU,EUR,WITCH_OLDEURO,EUROPE,EU27,EU28,World,EARTH
GTM,R5LAM,XLM,Central America and Caribbean,RCAM,LAM,LAM,WITCH_LACA,LACA,,,World,EARTH
GIN,R5MAF,XAF,Africa_Western,WAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
GUY,R5LAM,XLM,South America_Northern,RSAM,LAM,LAM,WITCH_LACA,LACA,,,World,EARTH
HTI,R5LAM,XLM,Central America and Caribbean,RCAM,LAM,LAM,WITCH_LACA,LACA,,,World,EARTH
HND,R5LAM,XLM,Central America and Caribbean,RCAM,LAM,LAM,WITCH_LACA,LACA,,,World,EARTH
HRV,R5OECD,XER,Europe_Non_EU,CEU,EEU,ROW,WITCH_TE,TE,EU27,EU28,World,EARTH
HUN,R5OECD,XE25,EU-12,CEU,EEU,EUR,WITCH_NEWEU,EUROPE,EU27,EU28,World,EARTH
ISL,R5OECD,XER,European Free Trade Association,WEU,WEU,ROW,WITCH_OLDEURO,EUROPE,,,World,EARTH
IND,R5ASIA,IND,India,INDIA,SAS,IND,WITCH_SASIA,INDONESIA,,,World,EARTH
IRN,R5MAF,XME,Middle East,ME,MEA,MEA,WITCH_MENA,MENA,,,World,EARTH
